Endodermis,Epidermis,Exodermis,GeneralCortex,InnerCortex,MeristematicCortex,MeristematicZone,Phloem,QuiescentCenter,Vasculature,Xylem
,Solyc10g076480,Solyc10g017990,Solyc12g019100,,,,Solyc12g006660,,,
,Solyc10g076660,Solyc10g037880,Solyc12g019300,,,,Solyc12g006770,,,
,Solyc10g077005,Solyc10g039210,Solyc12g026420,,,,Solyc12g006800,,,
,Solyc10g077060,Solyc10g044520,Solyc12g033030,,,,Solyc12g008460,,,
,Solyc10g078510,Solyc10g047210,Solyc12g033050,,,,Solyc12g009420,,,
,Solyc10g080010,Solyc10g049210,Solyc12g035470,,,,Solyc12g009880,,,
,Solyc10g080470,Solyc10g049240,Solyc12g038805,,,,Solyc12g010500,,,
,Solyc10g080510,Solyc10g049280,Solyc12g042010,,,,Solyc12g010830,,,
,Solyc10g080580,Solyc10g049970,Solyc12g042070,,,,Solyc12g011170,,,
,Solyc10g080715,Solyc10g050110,Solyc12g042177,,,,Solyc12g013530,,,
,Solyc10g081000,Solyc10g050440,Solyc12g042470,,,,Solyc12g013900,,,
,Solyc10g081280,Solyc10g051200,Solyc12g042480,,,,Solyc12g017360,,,
,Solyc10g081380,Solyc10g054670,Solyc12g042770,,,,Solyc12g017370,,,
,Solyc10g081500,Solyc10g055230,Solyc12g042830,,,,Solyc12g017750,,,
,Solyc10g081560,Solyc10g055240,Solyc12g049310,,,,Solyc12g017830,,,
,Solyc10g083290,Solyc10g075160,Solyc12g049680,,,,Solyc12g017880,,,
,Solyc10g083420,Solyc10g075170,Solyc12g055680,,,,Solyc12g019010,,,
,Solyc10g084045,Solyc10g075175,Solyc12g055700,,,,Solyc12g019130,,,
,Solyc10g084200,Solyc10g076240,Solyc12g055850,,,,Solyc12g036220,,,
,Solyc10g084510,Solyc10g076243,Solyc12g056200,,,,Solyc12g036500,,,
,Solyc10g084720,Solyc10g076700,Solyc12g056470,,,,Solyc12g036710,,,
,Solyc10g084780,Solyc10g077020,Solyc12g056830,,,,Solyc12g036720,,,
,Solyc10g084790,Solyc10g078410,Solyc12g056920,,,,Solyc12g040700,,,
,Solyc10g085010,Solyc10g078580,Solyc12g057040,,,,Solyc12g040830,,,
,Solyc10g085170,Solyc10g078670,Solyc12g087940,,,,Solyc12g044310,,,
,Solyc10g085280,Solyc10g079110,Solyc12g088090,,,,Solyc12g044420,,,
,Solyc10g086090,Solyc10g079480,Solyc12g088190,,,,Solyc12g055950,,,
,Solyc10g086170,Solyc10g079620,Solyc12g088460,,,,Solyc12g056190,,,
,Solyc10g086490,Solyc10g080050,Solyc12g088700,,,,Solyc12g056560,,,
,Solyc10g086520,Solyc10g080530,Solyc12g088760,,,,Solyc12g062600,,,
,Solyc11g005830,Solyc10g080960,Solyc12g096090,,,,Solyc12g088650,,,
,Solyc11g006950,Solyc10g081040,Solyc12g096550,,,,Solyc12g089020,,,
,Solyc11g006980,Solyc10g081320,Solyc12g096620,,,,Solyc12g089250,,,
,Solyc11g007220,Solyc10g081360,Solyc12g096770,,,,Solyc12g094380,,,
,Solyc11g007230,Solyc10g083140,Solyc12g098320,,,,Solyc12g096180,,,
,Solyc11g007370,Solyc10g083230,Solyc12g098350,,,,Solyc12g096310,,,
,Solyc11g007520,Solyc10g083320,Solyc12g099360,,,,Solyc12g096980,,,
,Solyc11g007570,Solyc10g083440,Solyc12g099500,,,,Solyc12g098390,,,
,Solyc11g007890,Solyc10g083460,Solyc12g099930,,,,Solyc12g099300,,,
,Solyc11g008790,Solyc10g083675,Solyc12g100010,,,,Solyc12g099590,,,
,Solyc11g008940,Solyc10g083700,,,,,,,,
,Solyc11g010680,Solyc10g083950,,,,,,,,
,Solyc11g010740,Solyc10g084325,,,,,,,,
,Solyc11g011085,Solyc10g084660,,,,,,,,
,Solyc11g011980,Solyc10g085030,,,,,,,,
,Solyc11g013065,Solyc10g085040,,,,,,,,
,Solyc11g020230,Solyc10g085200,,,,,,,,
,Solyc11g020710,Solyc10g085335,,,,,,,,
,Solyc11g039530,Solyc10g085440,,,,,,,,
,Solyc11g039570,Solyc10g085495,,,,,,,,
,Solyc11g039930,Solyc10g085830,,,,,,,,
,Solyc11g039950,Solyc10g085880,,,,,,,,
,Solyc11g040140,Solyc10g085890,,,,,,,,
,Solyc11g042420,Solyc10g086250,,,,,,,,
,Solyc11g044530,Solyc10g086380,,,,,,,,
,Solyc11g045520,Solyc10g086570,,,,,,,,
,Solyc11g056340,Solyc10g086730,,,,,,,,
,Solyc11g056360,Solyc10g087017,,,,,,,,
,Solyc11g061980,Solyc11g005080,,,,,,,,
,Solyc11g065470,Solyc11g005630,,,,,,,,
,Solyc11g065480,Solyc11g005915,,,,,,,,
,Solyc11g065890,Solyc11g006060,,,,,,,,
,Solyc11g066240,Solyc11g006290,,,,,,,,
,Solyc11g066250,Solyc11g006300,,,,,,,,
,Solyc11g066310,Solyc11g006450,,,,,,,,
,Solyc11g066640,Solyc11g006470,,,,,,,,
,Solyc11g066920,Solyc11g007140,,,,,,,,
,Solyc11g067260,Solyc11g007470,,,,,,,,
,Solyc11g067320,Solyc11g007860,,,,,,,,
,Solyc11g067330,Solyc11g008140,,,,,,,,
,Solyc11g067340,Solyc11g008630,,,,,,,,
,Solyc11g067350,Solyc11g009030,,,,,,,,
,Solyc11g068710,Solyc11g010120,,,,,,,,
,Solyc11g069220,Solyc11g010250,,,,,,,,
,Solyc11g069260,Solyc11g010340,,,,,,,,
,Solyc11g069280,Solyc11g010360,,,,,,,,
,Solyc11g069390,Solyc11g010400,,,,,,,,
